MONTH,Control Customers,Control 5% Confidence Interval,Control 95% Confidence Interval,Trial Customers
2018-07-01,38.09652509652509,30.881722994745207,45.31132719830497,34
2018-08-01,38.09652509652509,30.881722994745207,45.31132719830497,38
2018-09-01,48.486486486486484,39.30401108422117,57.668961888751795,39
2018-10-01,47.33204633204633,38.368201296501624,56.29589136759104,42
2018-11-01,47.33204633204633,38.368201296501624,56.29589136759104,52
2018-12-01,36.94208494208494,29.945913207025658,43.938256677144224,48
2019-01-01,42.71428571428571,34.624962145623414,50.803609282948,46
2019-02-01,47.33204633204633,38.368201296501624,56.29589136759104,46
2019-03-01,42.71428571428571,34.624962145623414,50.803609282948,42
2019-04-01,43.86872586872587,35.56077193334297,52.176679804108765,45
2019-05-01,49.64092664092664,40.23982087194073,59.042032409912544,35
2019-06-01,33.478764478764475,27.138483843867,39.81904511366195,36
