MONTH,Control Customers,Control 5% Confidence Interval,Control 95% Confidence Interval,Trial Customers
2018-07-01,17.66355140186916,16.57280187473623,18.754300929002092,19
2018-08-01,15.700934579439252,14.73137944420998,16.670489714668523,17
2018-09-01,10.794392523364486,10.127823367894361,11.460961678834611,12
2018-10-01,12.757009345794392,11.969245798420609,13.544772893168176,11
2018-11-01,20.60747663551402,19.334935520525597,21.88001775050244,18
2018-12-01,12.757009345794392,11.969245798420609,13.544772893168176,14
2019-01-01,14.719626168224298,13.810668228946856,15.62858410750174,14
2019-02-01,15.700934579439252,14.73137944420998,16.670489714668523,16
2019-03-01,11.77570093457944,11.048534583157485,12.502867286001395,15
2019-04-01,12.757009345794392,11.969245798420609,13.544772893168176,18
2019-05-01,11.77570093457944,11.048534583157485,12.502867286001395,23
2019-06-01,16.682242990654206,15.652090659473103,17.71239532183531,12
